Symbol	Test	Control
p_23968_3	hFib2-derived iPSC line	hFib2 fibroblasts
p_23968_4	MRC5-derived iPSC	"pooled human ESC (H9, BG01)"
p_23968_5	BJ1-derived iPSC	"pooled human ESC (H9, BG01)"
p_23968_6	hFib2-derived iPSC line	"pooled human ESC (H9, BG01)"
p_23973_1	"hFib2-iPS5 cell, lincRNA-ST8SIA3 targeting siRNA treated"	"hFib2-iPS5 cell, control"
p_23984_1	"CD3+ T lymphocytes, TX527 treated, 10nM"	"CD3+ T lymphocytes, EtOH treated, control"
p_23994_1	"LiFraumeni syndrome, epithelial"	Normal epithelial
p_23994_2	"LiFraumeni syndrome, stromal"	Normal stromal
p_24027_1	"MCF-7 cells, VLX50 treated, 6h"	"MCF-7 cells, control"
p_24044_1	"GC B cell, transfected with KDM6B"	"GC B cell, control vector"
p_24089_1	"Carcinoma cell , HPV infected"	"Carcinoma cell , control"
p_24091_1	"SCC cell line, HPV positive"	"SCC cell line, HPV negative"
p_24093_1	"Endothelial cell, Akt activated"	"Endothelial cell, GFP infected"
p_24093_2	"Endothelial cell, PymT activated"	"Endothelial cell, GFP infected"
p_24093_3	"Endothelial cell, MAPK activated"	"Endothelial cell, GFP infected"
p_24132_1	"adult peripheral Dendritic cell, RSV infected"	"adult peripheral Dendritic cell, mock infected"
p_24132_2	"Cord blood Dendritic cell, RSV infected"	"Cord blood Dendritic cell, mock infected"
p_24150_1	"MCF-7 cells, b-AP15 treated, 6h"	"MCF-7 cells, control"
p_24170_1	"U2OS cell, Wt-Set8b transfected"	"U2OS cell, empty vector transfected"
p_24170_2	"U2OS cell, Set8b_deltaPIP2 transfected"	"U2OS cell, empty vector transfected"
p_24188_1	"hepatocyte, atorvastatin treated, 24h"	"hepatocyte, untreated"
p_24188_2	"hepatocyte, atorvastatin treated, 48h"	"hepatocyte, untreated"
p_24188_3	"hepatocyte, Rifampicin treated, 24h"	"hepatocyte, untreated"
p_24188_4	"hepatocyte, Rifampicin treated, 48h"	"hepatocyte, untreated"
p_24188_5	"hepatocyte, Rosuvastatin treated, 24h"	"hepatocyte, untreated"
p_24188_6	"hepatocyte, Rosuvastatin treated, 48h"	"hepatocyte, untreated"
p_24199_1	"soft-tissue sarcoma, Non-side population"	"soft-tissue sarcoma, Side population"
p_24223_11	"CD14 cell, 8 week after kidney transplant"	"CD14 cell, kidney transplant, day 0"
p_24223_14	"CD19 cell, 2 week after kidney transplant"	"CD19 cell, kidney transplant, day 0"
p_24223_15	"CD19 cell, 12 week after kidney transplant"	"CD19 cell, kidney transplant, day 0"
p_24223_18	"CD4 cell, 2 week after kidney transplant"	"CD4 cell, kidney transplant, day 0"
p_24223_2	"whole blood, 1 week after kidney transplant"	"whole blood, kidney transplant, day 0"
p_24223_20	"CD4 cell, 8 week after kidney transplant"	"CD4 cell, kidney transplant, day 0"
p_24223_23	"CD8 cell, 2 week after kidney transplant"	"CD8 cell, kidney transplant, day 0"
p_24223_24	"CD8 cell, 8 week after kidney transplant"	"CD8 cell, kidney transplant, day 0"
p_24223_26	"CD56 cell, 2 week after kidney transplant"	"CD56 cell, kidney transplant, day 0"
p_24223_27	"CD56 cell, 12 week after kidney transplant"	"CD56 cell, kidney transplant, day 0"
p_24223_5	"whole blood, 8 week after kidney transplant"	"whole blood, kidney transplant, day 0"
p_24223_8	"CD14 cell, 1 week after kidney transplant"	"CD14 cell, kidney transplant, day 0"
p_24224_1	"HL60 cell, decitabine"	"HL60 cell, control"
p_24244_1	"CD133+, CD144+ cell, Brain GBM tumor"	"CD133-, CD144- cell, Brain GBM tumor"
p_24249_1	"MDA-MB-231 cell, GATA3 expressed"	"MDA-MB-231 cell, control"
p_24259_1	"A375SM cells, transduced with PAR-1 shRNA"	"A375SM cells, transduced with NT shRNA, control"
p_2435_1	"Awells cell line, autophagy, 6h"	"Awells cell line, control, 6h"
p_2435_2	"Awells cell line, autophagy, 24h"	"Awells cell line, control, 24h"
p_24362_1	"LCL , EBNA3CHT permissive"	"LCL, control"
p_24362_2	"LCL , EBNA3CHT non-permissive"	"LCL, control"
p_24468_1	"mammary epithelial cell,  R5020 treated, 10nM, 16h"	"mammary epithelial cell, vehicle, 16h"
p_24473_1	"T47D cell, RASSF1C over-expression"	"T47D cell, control"
p_24487_1	HGPS (Hutchinson-Gilford progeria syndrom) Fibroblast	BJ (CRL-2522) fibroblasts
p_24487_2	"BJ-iPSC, iPSC from normal human fibroblast (CRL-2522)"	H9 ESC
p_24487_3	"HGPS-iPSC, iPSC from HGPS (Hutchinson-Gilford progeria syndrom) Fibroblast"	H9 ESC
p_24493_1	"KCL-22 cell, Imatinib treated"	"KCL-22 cell, control"
p_24493_2	"KU-812 cell, Imatinib treated"	"KU-812 cell, control"
p_24493_3	"JURL-MK1 cell, Imatinib treated"	"JURL-MK1 cell, control"
p_24522_1	"MMS1 cell, miR16 knock-out"	"MMS1 cell, control"
p_24522_2	"RPMI cell, miR16 knock-out"	"RPMI cell, control"
p_24530_1	"H1 hESC, FACs sorted small subpopulation"	"H1 hESC, FACs sorted large subpopulation"
p_24547_1	"MCF7 cells, Danusertib treated, 24h"	"MCF7 cells, untreated, 24h"
p_24547_2	"MDA-MB-468 cell, Danusertib treated, 24 h"	"MDA-MB-468 cell, untreated, 24 h"
p_24547_3	"HCT-116 cells, Danusertib treated, 24h"	"HCT-116 cells, untreated, 24h"
p_24547_4	"Colo205 cell, Danusertib treated, 24 h"	"Colo205 cell, untreated, 24 h"
p_24547_5	"A2780 cell, Danusertib treated, 24 h"	"A2780 cell, untreated, 24 h"
p_24553_1	"Thyroid cell, SAGM treated"	"Thyroid cell, control"
p_24584_1	"CL1-5 cells, Analogue 3, 4¡Ç-iodo-3,3,5-tripropyl-4-methoxy treated"	"CL1-5 cells, DMSO treated"
p_24612_1	"Human synovial MSC, co-culture"	"Human synovial MSC, mono-culture"
p_24733_1	"293T cells, transfected with pCMV-Aire expression vector"	"293T cell, control"
p_24736_1	"Mature naive B cell, Allele C/T"	"Mature naive B cell, Allele C/C"
p_24736_2	"Mature naive B cell, Allele T/T"	"Mature naive B cell, Allele C/C"
p_24739_1	"CD34+ G0 cell, CML patient"	"CD34+ G0 cell, normal"
p_24739_2	"CD34+ G1 cell, CML patient"	"CD34+ G1 cell, normal"
p_24743_1	"U937 cells, treated with shikonin"	"U937 cells, treated with DMSO"
p_24783_1	"Human oral squamous carcinoma cell line (HSC-3), treated with heat stress (42¡ÆC), 0h"	"Human oral squamous carcinoma cell line (HSC-3), control"
p_24783_2	"Human oral squamous carcinoma cell line (HSC-3), treated with heat stress (42¡ÆC), 6h"	"Human oral squamous carcinoma cell line (HSC-3), control"
p_24783_3	"Human oral squamous carcinoma cell line (HSC-3), treated with heat stress (42¡ÆC), 12h"	"Human oral squamous carcinoma cell line (HSC-3), control"
p_24783_4	"Human oral squamous carcinoma cell line (HSC-3), treated with heat stress (44¡ÆC), 0h"	"Human oral squamous carcinoma cell line (HSC-3), control"
p_24783_5	"Human oral squamous carcinoma cell line (HSC-3), treated with heat stress (44¡ÆC), 6h"	"Human oral squamous carcinoma cell line (HSC-3), control"
p_24783_6	"Human oral squamous carcinoma cell line (HSC-3), treated with heat stress (44¡ÆC), 12h"	"Human oral squamous carcinoma cell line (HSC-3), control"
p_24824_1	"liver metastasis sample, anti-miR-182 treated"	"liver metastasis sample, control"
p_24849_1	"CD34+-derived Hematopoietic stem cells, Day10, Plasmodium falciparum (3D7) infection (GenePattern)"	"CD34+-derived Hematopoietic stem cells , Day10, uninfected (GenePattern)"
p_24849_2	"CD34+-derived Hematopoietic stem cells, Plasmodium falciparum (3D7) infection, Day14 (GenePattern)"	"CD34+-derived Hematopoietic stem cells, uninfected, Day14 (GenePattern)"
p_24849_3	"CD34+-derived Hematopoietic stem cells,  Plasmodium falciparum (3D7) infection, Day10 (dChip)"	"CD34+-derived Hematopoietic stem cells, uninfected,  Day10 (dChip)"
p_24849_4	"CD34+-derived Hematopoietic stem cells, Plasmodium falciparum (3D7) infection, Day14 (dChip)"	"CD34+-derived Hematopoietic stem cells, uninfected, Day14 (dChip)"
p_24868_1	PC-3/S cell line	PC-3/Mc cell line
p_24869_1	"monocyte, LTB4 treated, 30 min"	"monocyte, control"
p_24897_1	"Macrophage, treated P.gingivalis, control"	"Macrophage, treated saline, control"
p_24897_2	"Macrophage, treated PG-LPS, control"	"Macrophage, treated saline, control"
p_24897_3	"Macrophage, treated PG-fimbriae, control"	"Macrophage, treated saline, control"
p_25012_1	"GBM cells, transplantation into zebrafish, 24 hours post"	"GBM cells, transplantation into zebrafish, 4 hours post"
p_25012_2	"GBM cells, transplantation into zebrafish, 48 hours post"	"GBM cells, transplantation into zebrafish, 4 hours post"
p_25014_1	"PMVEC, 5 mM heme treated"	"PMVEC, vehicle, control"
p_25014_2	"PAEC, 5 mM heme treated"	"PAEC, vehicle, control"
p_25085_1	Thymocyte from Adult BM HSC	Thymocyte from Fetal BM HSC
p_25085_2	Thymocyte from Fetal Liver HSC	Thymocyte from Fetal BM HSC
p_25086_1	"MIAPaCa-2 cells, NDRG1 transfected"	"MIAPaCa-2 cells, control vector"
p_25087_1	"Naive CD4+ T cells, adult"	"Naive CD4+ T cells, fetal"
p_25087_2	"CD4+CD25+ Treg, adult"	"CD4+CD25+ Treg, fetal"
p_25090_1	iPS from CD34 cell	hESCs
p_25090_2	hESCs	CD34 cells
p_25118_1	"NCI-H2228 xenograft, CH5424802 4mg treated"	"NCI-H2228 xenograft, vehicle"
p_25118_2	"NCI-H2228 xenograft, CH5424802 20mg treated"	"NCI-H2228 xenograft, vehicle"
p_25127_1	"TC32 cell, mithramycin"	"TC32 cell, control"
p_25127_2	"TC71 cell, mithramycin"	"TC71 cell, control"
p_25146_1	"AGS cell, LPS treated"	"AGS cell, control"
p_25147_1	"MKN45 cell, LPS treated"	"MKN45 cell, control"
p_25148_1	"HEK-TLR2 cell, LPS treated 2h"	"HEK-TLR2 cell, control 2h"
p_25148_2	"HEK-TLR2 cell, LPS treated 4h"	"HEK-TLR2 cell, control 4h"
p_25148_3	"HEK-TLR2 cell, LPS treated 8h"	"HEK-TLR2 cell, control 8h"
p_25148_4	"HEK-TLR2 cell, LPS treated 24h"	"HEK-TLR2 cell, control 24h"
p_25148_5	"HEK-TLR2 cell, LPS treated 48h"	"HEK-TLR2 cell, control 48h"
p_25156_1	"HRP1 cell, permissive to hcv"	"Huh7 cell, non-permissive to hcv"
p_25157_1	"HCV Replicon containing Huh7-K2040 cells, transfected with pTracer-CREB3L1"	"HCV Replicon containing Huh7-K2040 cells, transfected with pTracer, control"
p_25162_1	"MCF7 cell, overexpressing miR-210"	"MCF7 cell, control"
p_25162_2	"MDA-MB-231 cell, overexpressing miR-210"	"MDA-MB-231 cell, control"
p_25191_1	"IGROV1 cells, side population"	"IGROV1 cells, non-side population"
p_25251_1	"primary lung cancer, Tumor cell line"	"pulmonary lymph node, cell line"
p_25251_2	"primary lung cancer, Tumor tissue"	"pulmonary lymph node, tissue"
p_25269_1	"HUVEC cell, Dexamethasone, 4h"	"HUVEC cell, control, 4h"
p_25269_2	"HUVEC cell, Dexamethasone, 16h"	"HUVEC cell, control, 16h"
p_25300_1	"Bone marrow cells, Evolution in AML"	"Bone marrow cells, MDS patients at diagnosis"
p_25311_1	"Huh7 cell, FH HDL treated"	"Huh7 cell, Normal HDL treated"
p_25320_1	"HMC-1 cell, exosome"	"HMC-1 cell, control"
p_25330_1	"C2M cell, Lactobacillus salivarius treated"	"C2M cell, control"
p_25330_2	"C2M cell, E.coli treated"	"C2M cell, control"
p_25330_3	"C2M cell, Bacteroides fragilis treated"	"C2M cell, control"
p_25330_4	"C2M cell, polystyrene beads treated"	"C2M cell, control"
p_25332_1	"Hec50 cell, empty vector"	"Hec50 cell, control"
p_25332_2	"Hec50 cell, miR-200C treated"	"Hec50 cell, control"
p_25336_1	"Olfactory MSC, Transdifferentiated to Hematopoietic SC"	Olfactory MSC
p_25407_1	"breast tumor, stage I, explant"	breast reduction mammoplasty tissue explant
p_25417_1	"H9 cell, hepatic differentiated, 5d"	"H9 cell, hepatic differentiated, 20d, HNF4a knockdown"
p_25417_2	"H9 cell, hepatic differentiated, 10d"	"H9 cell, hepatic differentiated, 20d, HNF4a knockdown"
p_25417_3	"H9 cell, hepatic differentiated, 15d"	"H9 cell, hepatic differentiated, 20d, HNF4a knockdown"
p_25427_1	"normal ovarian surface epithelium, pooled from five individuals, 5-AzaC treated, 5uM, 72h"	"normal ovarian surface epithelium, pooled from five individuals, mock treated"
p_25427_2	"serous borderline ovarian cells, treated with 5-AzaC"	"serous borderline ovarian cells, mock treated"
p_25427_3	"serous epithelial ovarian cancer cells, 5-AzaC treated, 5uM, 72h"	"serous epithelial ovarian cancer cells, mock treated"
p_25429_1	"normal ovarian surface epithelium, 5-AzaC treated, 72h"	"normal ovarian surface epithelium, mock treated"
p_25429_2	"serous borderline ovarian cells, treated with 5-AzaC"	"serous borderline ovarian cells, mock treated"
p_25429_3	"serous epithelial ovarian cancer cells, treated with 5-AzaC"	"serous epithelial ovarian cancer cells, mock treated"
p_25436_1	"Melanoma cell line, M202R1 cell lines, V600E BRAF mutant, PLX4032 resistant"	"M202 cells, V600E BRAF mutant, PLX4032 sensitive"
p_25458_1	"Ishikawa cell, metastin-10 treated"	"Ishikawa cell, control"
p_25458_2	"Ishikawa cell, GPR54 suppressed, metastin-10 treated"	"Ishikawa cell, GPR54 suppressed"
p_25471_1	"HEK293T, ZAPS expression, 48h"	"HEK293T, control"
p_25507_1	"lymphocyte, autism"	"lymphocyte, healthy control"
p_25518_1	"testicular biopsies, cryptorchidism"	"contralateral descended testes, control"
p_25547_1	"HepG2 cell, GW7647 treated, 6h"	"HepG2 cell, control"
p_25547_2	"HepG2 cell, GW7647 treated, 24h"	"HepG2 cell, control"
p_25550_1	"MALT lymphoma, t(11;18)-negative"	normal spleen tissue
p_25550_2	"MALT lymphoma, t(11;18)-positive"	normal spleen tissue
p_25550_3	"MALT lymphoma, t(11;18)-positive"	"MALT lymphoma, t(11;18)-negative"
p_2555_1	"HEK293 cells, HCaRG transfected"	"HEK293 cells, control"
p_25571_1	"PBMC, mononuclear cells, FISH (del 13q14)"	"PBMC, mononuclear cells, FISH (no del 13q14, no del 11q22-23, no del 17p13, no trisomy 12)"
p_25571_2	"PBMC, mononuclear cells, FISH (del 11q22-23)"	"PBMC, mononuclear cells, FISH (no del 13q14, no del 11q22-23, no del 17p13, no trisomy 12)"
p_25571_3	"PBMC, mononuclear cells, FISH (del 17q13)"	"PBMC, mononuclear cells, FISH (no del 13q14, no del 11q22-23, no del 17p13, no trisomy 12)"
p_25571_4	"PBMC, mononuclear cells, FISH (trisomy 12)"	"PBMC, mononuclear cells, FISH (no del 13q14, no del 11q22-23, no del 17p13, no trisomy 12)"
p_25613_1	"Mantel cell lymphoma cell line, resistant to ABT-737"	"Mantel cell lymphoma cell line, sensitive to ABT-737"
p_25619_1	"mammary fibroblast, granulin treated"	"mammary fibroblast, control"
p_25634_1	"second trimester amniotic fluid, trisomy 18"	"second trimester amniotic fluid, euploid control"
p_25638_1	MALT lymphoma	"naive B cells, tonsil, healthy control"
p_25638_10	"Diffuse large B cell lymphoma (DLBCL), frozen biopsy"	"IgM+IgD+CD27+ cells, Peripheral Blood, healthy control"
p_25638_11	"Follicular B cell lymphoma (FCL), frozen biopsy"	"IgM+IgD+CD27+ cells, Peripheral Blood, healthy control"
p_25638_12	"Splenic Marginal B Cell lymphoma, frozen biopsy"	"IgM+IgD+CD27+ cells, Peripheral Blood, healthy control"
p_25638_13	MALT lymphoma	"CD19+ cells, Peripheral Blood, healthy control"
p_25638_14	"Diffuse large B cell lymphoma (DLBCL), frozen biopsy"	"CD19+ cells, Peripheral Blood, healthy control"
p_25638_15	"Follicular B cell lymphoma (FCL), frozen biopsy"	"CD19+ cells, Peripheral Blood, healthy control"
p_25638_16	"Splenic Marginal B Cell lymphoma, frozen biopsy"	"CD19+ cells, Peripheral Blood, healthy control"
p_25638_17	MALT lymphoma	"CD19+ cells, Peripheral blood, activated, healthy control"
p_25638_18	"Diffuse large B cell lymphoma (DLBCL), frozen biopsy"	"CD19+ cells, Peripheral blood, activated, healthy control"
p_25638_19	"Follicular B cell lymphoma (FCL), frozen biopsy"	"CD19+ cells, Peripheral blood, activated, healthy control"
p_25638_2	"Diffuse large B cell lymphoma (DLBCL), frozen biopsy"	"naive B cells, tonsil, healthy control"
p_25638_20	"Splenic Marginal B Cell lymphoma, frozen biopsy"	"CD19+ cells, Peripheral blood, activated, healthy control"
p_25638_3	"Follicular B cell lymphoma (FCL), frozen biopsy"	"naive B cells, tonsil, healthy control"
p_25638_4	"Splenic Marginal B Cell lymphoma, frozen biopsy"	"naive B cells, tonsil, healthy control"
p_25638_5	MALT lymphoma	"Memory B cells, tonsil, healthy control"
p_25638_6	"Diffuse large B cell lymphoma (DLBCL), frozen biopsy"	"Memory B cells, tonsil, healthy control"
p_25638_7	"Follicular B cell lymphoma (FCL), frozen biopsy"	"Memory B cells, tonsil, healthy control"
p_25638_8	"Splenic Marginal B Cell lymphoma, frozen biopsy"	"Memory B cells, tonsil, healthy control"
p_25638_9	MALT lymphoma	"IgM+IgD+CD27+ cells, Peripheral Blood, healthy control"
p_25725_1	"HEL cell, CEP701 treated"	"HEL cell, DMSO treated"
p_25725_2	"HEL cell, shPRMT5 treated"	"HEL cell, shControl treated"
p_25743_1	"Hs578T cell, EpCAM expressed"	"Hs578T cell, control"
p_25861_1	"endothelial cells, Intra Uterine Growth Restriction"	"endothelial cells, Preterm labour, control"
p_25941_1	"Muscle cell, Old, male"	"Muscle cell, Young, male"
p_25941_2	"Muscle cell, Old, Female"	"Muscle cell, Young, Female"
p_25986_1	Hodgkin lymphoma cell	Germinal center
p_25987_1	"KM-H2 cells, CIITA-BX648577 knockdown"	"KM-H2 cells, Non-silencing control"
p_2600_1	"NB4 cells, Anaplasma phagocytophilum infected"	"NB4 cells, control"
p_26027_1	"Rectum tumor, one hour after a dose of 7.2 Gy (4th fraction) during radiotherapy"	"Rectum tumor, before radiotherapy"
p_26049_1	"whole blood, Essential Thronbocythemia, RMA"	"whole blood, control, RMA"
p_26049_2	"whole blood, Polycythemia Vera, RMA"	"whole blood, control, RMA"
p_26049_3	"whole blood, Primary Myelofibrosis, RMA"	"whole blood, control, RMA"
p_26049_4	"whole blood, Essential Thronbocythemia, dChip"	"whole blood, control, dChip"
p_26049_5	"whole blood, Polycythemia Vera, dChip"	"whole blood, control, dChip"
p_26049_6	"whole blood, Primary Myelofibrosis, dChip"	"whole blood, control, dChip"
p_26050_1	"Peripheral Blood Mononuclear Cell, FHL, WT"	"Peripheral Blood Mononuclear Cell, no-FHL, control"
p_26050_2	"Peripheral Blood Mononuclear Cell, FHL, PRF"	"Peripheral Blood Mononuclear Cell, no-FHL, control"
p_26077_1	"PDL cell, mechanical stress 48h"	"PDL cell, control"
p_26114_1	"MV4-11, ABT-869"	"MV4-11, Control"
p_26114_2	"MV4-11, SAHA"	"MV4-11, Control"
p_26114_3	"MV4-11, ABT-869 + SAHA"	"MV4-11, Control"
p_26114_4	"MOLM-14, ABT-869"	"MOLM-14, Control"
p_26114_5	"MOLM-14, SAHA"	"MOLM-14, Control"
p_26114_6	"MOLM-14, ABT-869 + SAHA"	"MOLM-14, Control"
p_26146_1	Human vascular adventital fibroblast	Human lung cell derived fibroblast
p_26156_1	Double Positive CD4 T cells	Single Positive CD4 T cells
p_26176_1	"W12 cervical ectokeratinocyte, passage 22"	"W12 cervical ectokeratinocyte, passage 19"
p_26213_1	"early human hypertrophic scar, white, neck, 6.7 mpi, 19 yr"	"early human hypertrophic scar, black, upper extremity, 10.8 mpi, 54 yr"
p_26272_1	"MSC, ZNF145 overexpressed"	"MSC, control"
p_26298_1	"MCF-7 cell, scramble siRNA, 100nM 4-hydroxytamoxifen treated"	"MCF-7 cell, scramble siRNA, vehicle"
p_26298_2	"MCF-7 cell, scramble siRNA, 500nM 4-hydroxytamoxifen treated"	"MCF-7 cell, scramble siRNA, vehicle"
p_26298_3	"MCF-7 cell, ER siRNA, vehicle"	"MCF-7 cell, scramble siRNA, vehicle"
p_26298_4	"MCF-7 cell, RARalpha siRNA, vehicle"	"MCF-7 cell, scramble siRNA, vehicle"
p_26308_1	"Xenograft, treated"	"Xenograft, untreated"
p_26308_2	A375 cell RNA on mouse	A375 cell RNA on human
p_26332_1	"C4-2 cell, miR-99a transfected"	"C4-2 cell, control"
p_2634_1	African green monkey whole blood	human whole blood
p_2634_2	Rhesus monkey whole blood	human whole blood
p_2634_3	cynomologus macaque whole blood	human whole blood
p_26351_1	"mobilized peripheral blood CD34+ cell, BIO treated"	"mobilized peripheral blood CD34+ cell, control"
p_26351_2	"mobilized peripheral blood CD34+ cell, BMP4 treated"	"mobilized peripheral blood CD34+ cell, control"
p_26378_1	"whole blood, septic shock patients"	"whole blood, normal control"
p_26440_1	"whole blood, septic shock patients"	"whole blood, normal control"
p_26451_1	HES-3	FORESKIN
p_26451_2	"ES4SKIN, induced pluripotent stem cells"	HES-3
p_26453_1	HES-3	IMR90
p_26453_2	"ESIMR90, induced pluripotent stem cells"	HES-3
p_26459_1	"MCF7 cell, estrogen treated, Tamoxifen sensitive"	"MCF7 cell, control, Tamoxifen sensitive"
p_26459_2	"MCF7 cell, 4-OHT treated, Tamoxifen sensitive"	"MCF7 cell, control, Tamoxifen sensitive"
p_26459_3	"MCF7 cell, estrogen+4-OHT treated, Tamoxifen sensitive"	"MCF7 cell, control, Tamoxifen sensitive"
p_26459_4	"MCF7 cell, estrogen treated, Tamoxifen resistant"	"MCF7 cell, control, Tamoxifen resistant"
p_26459_5	"MCF7 cell, 4-OHT treated, Tamoxifen resistant"	"MCF7 cell, control, Tamoxifen resistant"
p_26459_6	"MCF7 cell, estrogen+4-OHT treated, Tamoxifen resistant"	"MCF7 cell, control, Tamoxifen resistant"
p_26462_1	"MDA-MB-231 cell, WASF3 knockdown"	"MDA-MB-231 cell, control"
p_26484_1	"PBMC, MS patient, low Sema4A"	"PBMC, healthy, low Sema4A"
p_26484_2	"PBMC, MS patient, high Sema4A"	"PBMC, MS patient, low Sema4A"
p_26495_1	PD-1 high CD8+ CD3+ T cells	Naive CD8+ CD3+ T cells
p_26495_2	PD-1 low CD8+ CD3+ T cells	Naive CD8+ CD3+ T cells
p_26525_1	"A549 cell, Geld IC50 treated, 24h"	"A549 cell, DMSO treated, 24h"
p_26525_2	"A549 cell, Geld IC20 treated, 48h"	"A549 cell, DMSO treated, 48h"
p_26525_3	"A549 cell, Geld IC50 treated, 48h"	"A549 cell, DMSO treated, 48h"
p_26526_1	"flow-sorted CD19+ cells, peripheral blood,chronic lymphocytic leukemia patient, del11q present"	"flow-sorted CD19+ cells, peripheral blood,chronic lymphocytic leukemia patient, non-del11q"
p_26541_1	"HMEC, shp53 , Ras, Epi treated"	"HMEC, shp53 treated"
p_26541_2	"HMEC, shp53 , Ras, Mes treated"	"HMEC, shp53 treated"
p_26567_1	"mouse lung, LPS-exposed, MSC treated"	"mouse lung, LPS-exposed, PBS treated"
p_26567_2	"mouse lung, LPS-exposed, MSC treated"	"mouse lung, PBS-exposed, MSC treated"
p_26567_3	"mouse lung, LPS-exposed, MSC in vitro mix"	"mouse lung, PBS-exposed, MSC in vitro mix"
p_26569_1	"G3361 cell, ABCB5 negative"	"G3361 cell, ABCB5 positive"
p_26569_2	"A375 cell, ABCB5 negative"	"A375 cell, ABCB5 positive"
p_26569_3	"Melanoma cell, ABCB5 negative"	"Melanoma cell, ABCB5 positive"
p_26594_1	"FS087 cell, Fas stimulated"	"FS087 cell, control"
p_26594_2	"MRC5 cell, Fas stimulated"	"MRC5 cell, control"
p_26594_3	"N78 cell, Fas stimulated"	"N78 cell, control"
p_26599_1	"HB4a, Doxorubicin treated"	"HB4a, DMSO treated"
p_26599_2	"HB4a, Rapamycin treated"	"HB4a, DMSO treated"
p_26599_3	"HB4a, Doxorubicin, Rapamycin treated"	"HB4a, DMSO treated"
p_26599_4	"C5.2 cell, Doxorubicin treated"	"C5.2 cell, DMSO treated"
p_26599_5	"C5.2 cell, Rapamycin treated"	"C5.2 cell, DMSO treated"
p_26599_6	"C5.2 cell, Doxorubicin, Rapamycin treated"	"C5.2 cell, DMSO treated"
p_26599_7	"SKBR3, Doxorubicin treated"	"SKBR3, DMSO treated"
p_26599_8	"SKBR3, Rapamycin treated"	"SKBR3, DMSO treated"
p_26599_9	"SKBR3, Doxorubicin, Rapamycin treated"	"SKBR3, DMSO treated"
p_26603_1	"M14 cell, ARHGAP8 activated, 2d"	"M14 cell, GFP activated, 2d"
p_26603_2	"M14 cell, ARHGAP8 activated, 3d"	"M14 cell, GFP activated, 3d"
p_26622_1	Liver biopsy after immunosuppressive therapy	Liver biopsy before immunosuppressive therapy
p_26626_1	"ADSC, PUM2 repressed"	"ADSC, control"
p_26637_1	"Adipose cell, Fasting, Insulin resistant"	"Adipose cell, Fasting, Insulin sensitive"
p_26637_2	"Adipose cell, Hyperinsulinemic, Insulin resistant"	"Adipose cell, Hyperinsulinemic, Insulin sensitive"
p_26656_1	"A375 melanoma cell-line, Wnt-1 overexpressed"	"A375 melanoma cell-line, control"
p_26656_2	"A375 melanoma cell-line, treated CsA, Wnt-1 overexpressed"	"A375 melanoma cell-line, treated CsA"
p_26656_3	"M24met melanoma cell-line, Wnt-1 overexpressing"	"M24met melanoma cell-line, control"
p_26661_1	"BC-3 cell, treated si463"	"BC-3 cell, treated siN, control"
p_26661_2	"BC-3 cell, treated si716s"	"BC-3 cell, treated siN, control"
p_26673_1	"Immunodeficiency associated Burkitt lymphoma, HIV-infected European adult"	"Burkitt lymphoma, African children"
p_26704_1	"H460 cell line, wild type, CCDP treated, 1h"	"H460 cell line, wild type, control"
p_26704_10	"H460 cell line, DUSP1 knockdown, CCDP treated, 6h"	"H460 cell line, wild type, CCDP treated, 6h"
p_26704_3	"H460 cell line, wild type, CCDP treated, 6h"	"H460 cell line, wild type, control"
p_26704_4	"H460 cell line, DUSP1 knockdown, CCDP treated, 1h"	"H460 cell line, DUSP1 knockdown, control"
p_26704_6	"H460 cell line, DUSP1 knockdown, CCDP treated, 6h"	"H460 cell line, DUSP1 knockdown, control"
p_26704_8	"H460 cell line, DUSP1 knockdown, CCDP treated, 1h"	"H460 cell line, wild type, CCDP treated, 1h"
p_26725_1	"peripheral blood, B-CLL patients"	"peripheral blood, control"
p_26748_1	"SiHa cells, cidofovir treated, 50g/ml, 24h growth"	"SiHa cells, 24h growth"
p_26748_2	"SiHa cells, cidofovir treated, 50g/ml, 48h growth"	"SiHa cells, 48h growth"
p_26748_3	"SiHa cells, cidofovir treated, 50g/ml, 72h growth"	"SiHa cells, 72h growth"
p_26748_4	"SiHa cells, cidofovir treated, 50g/ml, 72h growth"	"SiHa cells, cidofovir resistant, 72h growth"
p_2677_1	"peripheral blood, CG treated, 6h"	"peripheral blood, CG untreated, 0h"
p_2677_2	"peripheral blood, CG treated, 8h"	"peripheral blood, CG untreated, 0h"
p_2677_3	"peripheral blood, CG treated, 24h"	"peripheral blood, CG untreated, 0h"
p_26828_1	"UROtsa cell, Cadmium-transformed"	"UROtsa cells, control"
p_26862_1	"H9 cell, SOX17 treated, stage 1"	"H9 cell, control"
p_26862_2	"H9 cell, SOX17 treated, stage 2"	"H9 cell, control"
p_26868_1	"HeLa cells, TNF-alpha treated, 10ng/mL, 2h"	"HeLa cells, control"
p_26868_2	"THP1 cells, TNF-alpha treated, 10ng/mL, 2h"	"THP1 cells, control"
p_26878_1	"acute lymphoblastic leukemia, subtype: High Hyperploidy"	"acute lymphoblastic leukemia, subtype: dic(9;20)"
